Name,Full Ticker,Ticker,Trading Country ISO Code,Operating Country ISO Code,Industry,Beta (5 Year),Total Debt,Total Equity,Revenue,Enterprise Value (EV)
Appreciated Media Holdings Inc.,OTCPK:AMEF.F,AMEF.F,USA,CAN,Entertainment,,1.2028,-1.8599,,4.5166
GBX International Group Inc.,OTCPK:GBXI,GBXI,USA,USA,Entertainment,,,,,
"GME Innotainment, Inc.",OTCPK:GMEV,GMEV,USA,HKG,Entertainment,0.959,0,-0.191,,3.0333
Backstageplay Inc.,OTCPK:PRYN.F,PRYN.F,USA,CAN,Entertainment,1.1954,0,-0.2144,,3.3344
"GD Entertainment & Technology, Inc.",OTCPK:GDET,GDET,USA,USA,Entertainment,,,,,
"Lingerie Fighting Championships, Inc.",OTCPK:BOTY,BOTY,USA,USA,Entertainment,2.3268,0.7018,-15.2869,0.0821,3.6662
"Archer Entertainment Media Communications, Inc.",OTCPK:AEMC,AEMC,USA,USA,Entertainment,,,,,
"Global Entertainment Holdings, Inc.",OTCPK:GBHL,GBHL,USA,USA,Entertainment,,,,,2.5325
"Big Screen Entertainment Group, Inc.",OTCPK:BSEG,BSEG,USA,USA,Entertainment,,,,,
"American Transportation Holdings, Inc.",OTCPK:ATHI,ATHI,USA,USA,Entertainment,,,,,
Kuuhubb Inc.,OTCPK:BCDM.F,BCDM.F,USA,CAN,Entertainment,1.0077,11.1593,-13.5286,5.2947,13.1357
"Astika Holdings, Inc.",OTCPK:ASKH,ASKH,USA,NZL,Entertainment,,,,,
"The Movie Studio, Inc.",OTCPK:MVES,MVES,USA,USA,Entertainment,,,,,
"RegalWorks Media, Inc.",OTCPK:RWMI,RWMI,USA,USA,Entertainment,,,,,
"FonU2, Inc.",OTCPK:FONU,FONU,USA,USA,Entertainment,,,,,
"Starstream Entertainment, Inc.",OTCPK:SSET,SSET,USA,USA,Entertainment,,,,,
Goliath Film and Media Holdings,OTCPK:GFMH,GFMH,USA,USA,Entertainment,0.2831,0,-0.0948,0.0384,2.221
All For One Media Corp.,OTCPK:AFOM,AFOM,USA,USA,Entertainment,10.746,4.7574,-13.8159,0.011,6.2801
"Get Real USA, Inc.",OTCPK:GTRL,GTRL,USA,USA,Entertainment,,,,,
"Rebel Group, Inc.",OTCPK:REBL,REBL,USA,CHN,Entertainment,,,,,112.9413
"Fearless Films, Inc.",OTCPK:FERL,FERL,USA,CAN,Entertainment,0.9204,0.3784,-0.2809,,2.0689
"WRIT Media Group, Inc.",OTCPK:WRIT,WRIT,USA,USA,Entertainment,,,,,
"Full Alliance Group, Inc.",OTCPK:FAGI,FAGI,USA,USA,Entertainment,,,,,
"Freeze Tag, Inc.",OTCPK:FRZT,FRZT,USA,USA,Entertainment,-0.2857,0.7486,-0.3922,2.0439,1.3112
Alliance Media Holdings Inc.,OTCPK:ADTR,ADTR,USA,USA,Entertainment,,,,,
"Platinum Studios, Inc",OTCPK:PDOS,PDOS,USA,USA,Entertainment,,,,,
"Luminar Media Group, Inc.",OTCPK:LRGR,LRGR,USA,CAN,Entertainment,,,,,
Santaro Interactive Entertainment Company,OTCPK:STIE,STIE,USA,CHN,Entertainment,,,,,
"China CGame, Inc.",OTCPK:CCGM,CCGM,USA,CHN,Entertainment,,,,,
Almost Never Films Inc.,OTCPK:HLWD,HLWD,USA,USA,Entertainment,-0.9018,0.1544,-0.3519,,0.7306
"Seven Arts Entertainment, Inc.",OTCPK:SAPX,SAPX,USA,USA,Entertainment,,,,,
"Sack Lunch Productions, Inc.",OTCPK:SAKL,SAKL,USA,USA,Entertainment,,,,,
Lord Global Corporation,OTCPK:LRDG,LRDG,USA,USA,Entertainment,,,,,3.6812
GTFN Holdings Inc.,OTCPK:BTOW,BTOW,USA,USA,Entertainment,,,,,
"Radioio, Inc.",OTCPK:RAIO,RAIO,USA,USA,Entertainment,,,,,
"Empire Post Media, Inc.",OTCPK:EMPM,EMPM,USA,USA,Entertainment,,,,,
"Image Metrics, Inc.",OTCPK:IMGX,IMGX,USA,USA,Entertainment,,,,,
National Lampoon Inc.,OTCPK:NLMP,NLMP,USA,USA,Entertainment,,,,,
"Metro Global Media, Inc.",OTCPK:MGMA,MGMA,USA,USA,Entertainment,,,,,
"American Basketball Association, Inc.",OTCPK:ABKB,ABKB,USA,USA,Entertainment,,,,,
"Hollywood Intermediate, Inc.",OTCPK:HYWI,HYWI,USA,USA,Entertainment,,,,,
Kew Media Group Inc.,OTCPK:KWWM.F,KWWM.F,USA,CAN,Entertainment,,,,,
"Amaru, Inc.",OTCPK:AMRU,AMRU,USA,SGP,Entertainment,,,,,
United Consortium Ltd.,OTCPK:UCSO,UCSO,USA,USA,Entertainment,,,,,
Interplay Entertainment Corp.,OTCPK:IPLY,IPLY,USA,USA,Entertainment,,,,,
"Instructivision, Inc.",OTCPK:ISTC,ISTC,USA,USA,Entertainment,,,,,
The Kushner-Locke Company,OTCPK:KLOC,KLOC,USA,USA,Entertainment,,,,,
Vidaroo Corp,OTCPK:VIDA,VIDA,USA,USA,Entertainment,,,,,
"Idle Media, Inc.",OTCPK:IDLM,IDLM,USA,USA,Entertainment,,,,,
"Earthworks Entertainment, Inc.",OTCPK:EWKS,EWKS,USA,USA,Entertainment,,,,,
SouthPeak Interactive Corporation,OTCPK:SOPK,SOPK,USA,USA,Entertainment,,,,,
Independent Film Development Corporation,OTCPK:IFLM,IFLM,USA,USA,Entertainment,,,,,
"VGTel, Inc.",OTCPK:VGTL,VGTL,USA,USA,Entertainment,,,,,
"The Motion Picture Group, Inc.",OTCPK:MPRG,MPRG,USA,USA,Entertainment,,,,,
Pegasus Gaming Corp.,OTCPK:PGGG,PGGG,USA,CAN,Entertainment,,,,,
"Tech Central, Inc.",OTCPK:TCHC,TCHC,USA,USA,Entertainment,,,,,
Tix Corporation,OTCPK:TIXC,TIXC,USA,USA,Entertainment,0.8904,4.617,-3.035,0,4.4214
"Mike the Pike Productions, Inc.",OTCPK:MIKP,MIKP,USA,USA,Entertainment,,,,,
"AVP, Inc.",OTCPK:AVPI,AVPI,USA,USA,Entertainment,,,,,
Football Equities Inc.,OTCPK:FBLQ,FBLQ,USA,USA,Entertainment,,,,,
Silverstar Holdings Ltd.,OTCPK:SSTR.F,SSTR.F,USA,BMU,Entertainment,,,,,
Red Mile Entertainment Inc.,OTCPK:RDML,RDML,USA,USA,Entertainment,,,,,
Miracle Entertainment Inc.,OTCPK:MEMI,MEMI,USA,USA,Entertainment,,,,,
Reality Racing Inc.,OTCPK:RRGI,RRGI,USA,USA,Entertainment,,,,,
"indiePub Entertainment, Inc.",OTCPK:IPUB,IPUB,USA,USA,Entertainment,,,,,
Star Entertainment Group Inc.,OTCPK:SETY,SETY,USA,USA,Entertainment,,,,,
Rivex Technology Corp.,OTCPK:RIVX,RIVX,USA,USA,Entertainment,,,,,
"Antilia Group, Corp.",OTCPK:AGGG,AGGG,USA,DOM,Entertainment,,,,,
Grand Entertainment & Music Inc.,OTCPK:GMSC,GMSC,USA,CAN,Entertainment,,,,,
"Sun Sports and Entertainment, Inc.",OTCPK:SUNR,SUNR,USA,USA,Entertainment,,,,,
"NanoTech Entertainment, Inc.",OTCPK:NTEK,NTEK,USA,USA,Entertainment,,,,,
Ise Blu Equity Corp.,OTCPK:ISBL,ISBL,USA,USA,Entertainment,,,,,
Playlogic Entertainment Inc.,OTCPK:PLGC,PLGC,USA,NLD,Entertainment,,,,,
"Hollywood Studios International, Inc.",OTCPK:HYWS,HYWS,USA,USA,Entertainment,,,,,
UOMO Media Inc.,OTCPK:UOMO,UOMO,USA,CAN,Entertainment,,,,,
"Heartsoft, Inc.",OTCPK:HTSF,HTSF,USA,USA,Entertainment,,,,,
"Genius Products, Inc.",OTCPK:GNPR,GNPR,USA,USA,Entertainment,,,,,
"Wi-Fi TV, Inc.",OTCPK:WIFT,WIFT,USA,USA,Entertainment,,,,,
MSH Entertainment Corp.,OTCPK:MSHE,MSHE,USA,USA,Entertainment,,,,,
Rochester Community Baseball Inc.,OTCPK:RCCB,RCCB,USA,USA,Entertainment,,,,,
Zane Interactive Publishing Inc.,OTCPK:ZNAE,ZNAE,USA,USA,Entertainment,,,,,
"Nashville Records, Inc.",OTCPK:NRCD,NRCD,USA,USA,Entertainment,,,,,
"Eva Live, Inc.",OTCPK:GOAI,GOAI,USA,USA,Entertainment,,,,,
Tiidal Gaming Group Corp.,OTCPK:TIID.F,TIID.F,USA,CAN,Entertainment,,0.2956,1.0369,0.3488,16.0527
"SEYOUNG D&C Co., Ltd.",OTCPK:SFTX.F,SFTX.F,USA,KOR,Entertainment,0.9934,1.4096,1.1522,0.0584,22.3879
"Red Truck Entertainment, Inc.",OTCPK:RTRK,RTRK,USA,USA,Entertainment,,,,,
"Taj Systems, Inc.",OTCPK:TJSS,TJSS,USA,USA,Entertainment,,,,,
"XRX International Entertainment Holding Group, Inc.",OTCPK:XRXH,XRXH,USA,USA,Entertainment,,,,,
"Interact-TV, Inc.",OTCPK:ITVI,ITVI,USA,USA,Entertainment,,,,,
"Du-Art Film Laboratories, Inc.",OTCPK:DAFL,DAFL,USA,USA,Entertainment,,,,,
Madison Sports & Entertainment Inc.,OTCPK:MSET,MSET,USA,USA,Entertainment,,,,,
,0,0,0,0,0,0,0,0,0,0
