Name,Full Ticker,Ticker,Trading Country ISO Code,Operating Country ISO Code,Industry,Beta (5 Year),Total Debt,Total Equity,Revenue,Enterprise Value (EV)
CD Projekt S.A.,OTCPK:OTGL.Y,OTGL.Y,USA,POL,Entertainment,0.3367,5.8323,473.7753,588.9511,4606.9946
CD Projekt S.A.,OTCPK:OTGL.F,OTGL.F,USA,POL,Entertainment,0.3367,5.8323,473.7753,588.9511,4648.2129
Madison Square Garden Sports Corp.,NYSE:MSGS,MSGS,USA,USA,Entertainment,0.6062,1108.432,-232.184,377.477,5257.8325
Skillz Inc.,NYSE:SKLZ,SKLZ,USA,USA,Entertainment,,3.956,704.336,342.963,3415.0938
"World Wrestling Entertainment, Inc.",NYSE:WWE,WWE,USA,USA,Entertainment,1.3662,613.659,372.763,1023.115,4059.6165
XD Inc.,OTCPK:XDNC.F,XDNC.F,USA,CHN,Entertainment,,284.6474,470.387,431.4288,2457.6038
Lions Gate Entertainment Corp.,NYSE:LGF.A,LGF.A,USA,USA,Entertainment,1.5991,3823.1001,2993.6001,3501.8,6708.9448
Lions Gate Entertainment Corp.,NYSE:LGF.B,LGF.B,USA,USA,Entertainment,1.5991,3823.1001,2993.6001,3501.8,6708.9448
Kahoot! ASA,OTCPK:KHOT.F,KHOT.F,USA,NOR,Entertainment,0.1938,2.822,505.415,55.557,2467.6699
Manchester United plc,NYSE:MANU,MANU,USA,GBR,Entertainment,0.72,737.1863,332.3932,689.403,3158.2092
Madison Square Garden Entertainment Corp.,NYSE:MSGE,MSGE,USA,USA,Entertainment,,2126.562,2188.4641,304.365,3107.907
Stillfront Group AB (publ),OTCPK:STLF.F,STLF.F,USA,SWE,Entertainment,0.4042,416.6809,1002.3422,632.048,2660.8511
"Daiichikosho Co., Ltd.",OTCPK:DKSS.F,DKSS.F,USA,JPN,Entertainment,,448.2272,914.0834,809.2709,1725.1582
HUYA Inc.,NYSE:HUYA,HUYA,USA,CHN,Entertainment,0.7904,13.6503,1683.4656,1788.402,83.1882
"Cinemark Holdings, Inc.",NYSE:CNK,CNK,USA,USA,Entertainment,2.4229,3968.397,314.957,942.076,5148.8418
"DeNA Co., Ltd.",OTCPK:DNAC.F,DNAC.F,USA,JPN,Entertainment,0.5633,267.912,2072.1423,1224.3247,1474.7493
Paradox Interactive AB (publ),OTCPK:PRXX.F,PRXX.F,USA,SWE,Entertainment,0.1294,20.2579,176.2047,170.3061,1722.2828
"GungHo Online Entertainment, Inc.",OTCPK:GUNG.F,GUNG.F,USA,JPN,Entertainment,0.6542,4.9149,1066.6792,991.8684,732.0678
The Liberty Braves Group,NASDAQGS:BATR.A,BATR.A,USA,USA,Entertainment,0.9195,691,261,,2079.739
The Liberty Braves Group,OTCPK:BATR.B,BATR.B,USA,USA,Entertainment,0.9195,691,261,,2079.739
The Liberty Braves Group,NASDAQGS:BATR.K,BATR.K,USA,USA,Entertainment,0.9195,18098,19469,1754,20277.7383
Nexters Inc.,NASDAQGM:GDEV,GDEV,USA,CYP,Entertainment,,1.401,-178.614,384.491,1367.0522
